keyword_phrases,clicks,cost,transactions,bad_to_ok_keywords,clicks_sum,cost_sum,bounce_rate_avg,category
public & employers liability insurance,1,5.36,0, &,1,5.36,0,ok
10m public liability insurance,5,38.54,0, 10m,5,38.54,60,ok
5m public liability insurance,7,60.42,0, 5m,23,185.38,53,ok
public liability insurance 5m,16,124.96,0, 5m,23,185.38,53,ok
insurance for shipping a car overseas,4,6.75,0, a,4,6.75,50,ok
public liability insurance for a craft stall,5,27.39,0, a craft stall,5,27.39,60,ok
actor public liability,21,82.62,0, actor,21,82.62,55,ok
insurance for actors,27,44.28,0, actors,27,44.28,81,ok
actress insurance,5,14.66,0, actress,5,14.66,100,bad
architect liability insurance,7,51.49,0, architect,20,175.20000000000002,87,ok
architect insurance,1,6.56,0, architect,20,175.20000000000002,87,ok
insurance for architect,12,117.15,0, architect,20,175.20000000000002,87,ok
architect pl insurance,1,4.99,0, architect pl,1,4.99,100,bad
author liability insurance,20,63.32,0, author,20,63.32,63,ok
band public liability insurance,34,145.37,0, band,48,208.97,75,ok
band liability insurance,14,63.6,0, band,48,208.97,75,ok
liability insurance for bands,5,24.94,0, bands,79,282.11,80,ok
public liability insurance for bands uk,6,22.26,0, bands,79,282.11,80,ok
bands liability insurance,3,17.63,0, bands,79,282.11,80,ok
bands insurance,50,154.41,0, bands,79,282.11,80,ok
public liability insurance for bands,6,27.0,0, bands,79,282.11,80,ok
public liability insurance bands uk,3,9.63,0, bands,79,282.11,80,ok
public liability insurance bands,6,26.24,0, bands,79,282.11,80,ok
barber insurance uk,10,28.76,0, barber,10,28.76,75,ok
insurance for barrister,4,6.29,0, barrister,15,37.32,96,ok
liability insurance barrister,2,7.55,0, barrister,15,37.32,96,ok
barrister insurance,9,23.48,0, barrister,15,37.32,96,ok
insurance broker marine,2,8.07,0, broker,20,89.21000000000001,58,ok
cargo insurance broker,2,6.96,0, broker,20,89.21000000000001,58,ok
marine insurance broker,11,48.88,0, broker,20,89.21000000000001,58,ok
public liability insurance broker,2,10.93,0, broker,20,89.21000000000001,58,ok
shipping broker insurance,3,14.37,0, broker,20,89.21000000000001,58,ok
builder public liability insurance,1,4.31,0, builder,1,4.31,100,bad
builders public liability insurance,1,7.1,0, builders,15,93.68999999999998,73,ok
public liability insurance builders,12,80.88,0, builders,15,93.68999999999998,73,ok
builders public liability,2,5.71,0, builders,15,93.68999999999998,73,ok
insurance building surveyor,1,5.05,0, building surveyor,1,5.05,0,ok
business marine insurance,1,17.67,0, business,1,17.67,0,ok
buy public liability insurance online,1,2.65,0, buy,1,2.65,0,ok
cake decorator insurance,11,53.45,0, cake decorator,11,53.45,63,ok
insurance cake maker,6,37.55,0, cake maker,24,129.34,63,ok
insurance for cake maker,4,20.05,0, cake maker,24,129.34,63,ok
cake maker insurance,13,65.03,0, cake maker,24,129.34,63,ok
cake maker public liability insurance,1,6.71,0, cake maker,24,129.34,63,ok
public liability insurance for cake makers,8,58.39,0, cake makers,8,58.39,50,ok
public liability carpenter,1,3.04,0, carpenter,1,3.04,100,bad
public liability insurance for carpenters,1,7.74,0, carpenters,1,7.74,100,bad
carpet cleaner insurance,3,17.19,0, carpet cleaner,3,17.19,0,ok
channel islands insurance,148,316.24,0, channel islands,258,590.01,33,ok
channel islands insurance companies,27,81.97,0, channel islands,258,590.01,33,ok
channel islands insurance brokers,83,191.8,0, channel islands,258,590.01,33,ok
cheapest public liability insurance,122,855.99,0, cheapest,123,861.4,75,ok
cheapest public liability insurance uk,1,5.41,0, cheapest,123,861.4,75,ok
children's party entertainer insurance,17,29.37,0, children's party entertainer,17,29.37,61,ok
childrens entertainer insurance,28,56.05,0, childrens entertainer,95,240.07999999999998,48,ok
public liability insurance childrens entertainer,13,40.02,0, childrens entertainer,95,240.07999999999998,48,ok
insurance childrens entertainer,54,144.01,0, childrens entertainer,95,240.07999999999998,48,ok
insurance for childrens entertainers,5,12.97,0, childrens entertainers,5,12.97,100,bad
public liability insurance cleaner,38,229.6,0, cleaner,43,249.98,47,ok
cleaner public liability,4,15.51,0, cleaner,43,249.98,47,ok
cleaner public liability insurance,1,4.87,0, cleaner,43,249.98,47,ok
public liability insurance for cleaners,6,29.45,0, cleaners,6,29.45,83,ok
cleaning public liability insurance,1,3.11,0, cleaning,1,3.11,0,ok
cleaning company insurance,7,34.36,0, cleaning company,7,34.36,60,ok
insurance comedian,23,60.41,0, comedian,23,60.41,64,ok
commercial liability insurance,6,26.06,0, commercial,19,76.18,73,ok
commercial public liability insurance,8,28.59,0, commercial,19,76.18,73,ok
commercial marine insurance,1,6.95,0, commercial,19,76.18,73,ok
commercial liability,4,14.58,0, commercial,19,76.18,73,ok
company liability insurance,6,31.79,0, company,16,101.22,75,ok
shipping insurance company,1,1.39,0, company,16,101.22,75,ok
company public liability insurance,9,68.04,0, company,16,101.22,75,ok
compare public liability,2,7.11,0, compare,5,25.88,83,ok
compare public liability insurance,3,18.77,0, compare,5,25.88,83,ok
computer programmer insurance,1,1.48,0, computer programmer,1,1.48,100,bad
construction insurance liability,7,30.72,0, construction,73,444.21,83,ok
construction public liability,2,13.66,0, construction,73,444.21,83,ok
construction public liability insurance,28,193.5,0, construction,73,444.21,83,ok
public liability insurance for construction,6,50.68,0, construction,73,444.21,83,ok
public liability construction,22,121.0,0, construction,73,444.21,83,ok
construction liability insurance,8,34.65,0, construction,73,444.21,83,ok
construction company insurance,3,8.97,0, construction company,3,8.97,75,ok
construction worker insurance,8,32.88,0, construction worker,8,32.88,80,ok
copywriter insurance,6,23.08,0, copywriter,6,23.08,33,ok
insurance for copywriter,0,0.0,0, copywriter,6,23.08,33,ok
public liability insurance costs,3,18.08,0, costs,3,18.08,50,ok
counsellor liability insurance,5,31.25,0, counsellor,56,171.57,79,ok
counsellor insurance,41,120.47,0, counsellor,56,171.57,79,ok
insurance for counsellor,10,19.85,0, counsellor,56,171.57,79,ok
employers liability coverage,1,4.53,0, coverage,1,4.53,100,bad
craft stall public liability insurance,17,80.57,0, craft stall,179,562.34,80,ok
craft stall insurance,116,336.65,0, craft stall,179,562.34,80,ok
craft stall public liability,15,57.0,0, craft stall,179,562.34,80,ok
public liability insurance craft stall,23,72.19,0, craft stall,179,562.34,80,ok
craft stall liability insurance,1,1.99,0, craft stall,179,562.34,80,ok
public liability for craft stall,7,13.94,0, craft stall,179,562.34,80,ok
public liability insurance for craft stall holders,5,16.52,0, craft stall holders,5,16.52,100,bad
insurance for craft stalls,21,99.01,0, craft stalls,55,235.91000000000003,73,ok
public liability insurance for craft stalls,34,136.9,0, craft stalls,55,235.91000000000003,73,ok
dance public liability insurance,10,23.9,0, dance,10,23.9,15,ok
dance class liability,3,11.03,0, dance class,27,59.64,57,ok
dance class insurance,24,48.61,0, dance class,27,59.64,57,ok
insurance dance instructor,2,3.76,0, dance instructor,26,81.47,55,ok
dance instructor public liability insurance,1,1.8,0, dance instructor,26,81.47,55,ok
public liability insurance for dance instructor,2,5.1,0, dance instructor,26,81.47,55,ok
dance instructor insurance,18,64.09,0, dance instructor,26,81.47,55,ok
dance instructor public liability,2,4.82,0, dance instructor,26,81.47,55,ok
liability insurance dance instructor,1,1.9,0, dance instructor,26,81.47,55,ok
insurance for dance instructors,1,2.06,0, dance instructors,2,4.41,100,bad
insurance dance instructors,1,2.35,0, dance instructors,2,4.41,100,bad
dance teacher insurance,3,7.04,0, dance teacher,13,42.58,79,ok
public liability insurance dance teacher,2,4.94,0, dance teacher,13,42.58,79,ok
dance teacher public liability,8,30.6,0, dance teacher,13,42.58,79,ok
insurance for dance teachers,3,9.1,0, dance teachers,38,107.64999999999999,76,ok
insurance dance teachers,35,98.55,0, dance teachers,38,107.64999999999999,76,ok
liability insurance data processor,3,18.83,0, data processor,27,102.48,91,ok
insurance data processor,24,83.65,0, data processor,27,102.48,91,ok
decorator insurance,1,3.13,0, decorator,1,3.13,100,bad
insurance for decorators,5,26.0,0, decorators,28,137.57,73,ok
liability insurance for decorators,2,10.34,0, decorators,28,137.57,73,ok
decorators public liability,16,77.5,0, decorators,28,137.57,73,ok
decorators insurance,5,23.73,0, decorators,28,137.57,73,ok
domestic shipping insurance,2,4.23,0, domestic,2,4.23,50,ok
public liability insurance domestic cleaner,1,6.43,0, domestic cleaner,3,15.61,0,ok
self employed domestic cleaner insurance,2,9.18,0, domestic cleaner,3,15.61,0,ok
domestic cleaners insurance,1,6.87,0, domestic cleaners,1,6.87,0,ok
domestic cleaning insurance,1,2.2,0, domestic cleaning,1,2.2,100,bad
electrical public liability insurance,1,3.55,0, electrical,1,3.55,100,bad
public liability insurance for electrical contractors,1,5.38,0, electrical contractors,1,5.38,100,bad
electricians insurance,8,35.87,0, electricians,24,128.88,85,ok
insurance for electricians,5,24.13,0, electricians,24,128.88,85,ok
liability insurance electricians,8,42.54,0, electricians,24,128.88,85,ok
electricians liability insurance,3,26.34,0, electricians,24,128.88,85,ok
employees liability insurance,12,64.3,0, employees,12,64.3,64,ok
engineer public liability,15,73.66,0, engineer,15,73.66,54,ok
engineering public liability insurance,8,44.35,0, engineering,9,48.35,25,ok
engineering insurance,1,4.0,0, engineering,9,48.35,25,ok
engineers liability insurance,1,3.12,0, engineers,1,3.12,0,ok
estate agent insurance,15,74.37,0, estate agent,15,74.37,64,ok
insurance for exporting a vehicle,14,20.86,0, exporting a,14,20.86,62,ok
football coach insurance,22,56.74,0, football coach,22,56.74,80,ok
liability insurance freight forwarder,2,5.9,0, forwarder,2,5.9,0,ok
freight forwarder's liability insurance,2,6.14,0, forwarder's,2,6.14,100,bad
furniture removal insurance,39,154.49,0, furniture,47,182.5,56,ok
furniture removals insurance,8,28.01,0, furniture,47,182.5,56,ok
insurance for garden designer,1,4.63,0, garden designer,2,7.87,100,bad
garden designer liability insurance,1,3.24,0, garden designer,2,7.87,100,bad
gas engineer insurance,4,15.05,0, gas engineer,4,15.05,50,ok
insurance gas engineers,2,9.72,0, gas engineers,12,71.18,27,ok
gas engineers public liability insurance,3,20.31,0, gas engineers,12,71.18,27,ok
gas engineers liability insurance,7,41.15,0, gas engineers,12,71.18,27,ok
gas fitter insurance,1,7.1,0, gas fitter,1,7.1,100,bad
insurance gas fitters,3,11.46,0, gas fitters,3,11.46,100,bad
insurance for glaziers,1,4.84,0, glaziers,1,4.84,100,bad
home cake maker insurance,2,4.72,0, home cake maker,2,4.72,100,bad
how to get public liability insurance,7,39.24,0, how to get,7,39.24,73,ok
insuring a shipping container,1,1.72,0, insuring a,1,1.72,67,ok
